TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 14:40:33
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 14:40:47
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 14:40:47
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 14:41:42
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 14:41:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 14:41:48
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 14:47:16
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 14:48:50
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 14:48:50
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 14:51:27
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 14:51:36
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 14:51:36
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 14:52:26
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 14:52:26
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 14:56:26
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 14:56:37
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 14:56:37
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 14:56:43
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 14:58:11
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 14:59:53
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 14:59:59
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 14:59:59
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 15:00:14
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 15:00:16
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:00:46
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:00:55
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:00:55
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 15:00:58
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 15:01:01
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:03:21
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:03:27
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:03:27
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 15:03:31
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch03.txt, UserID: 1, CreatedOn: 2021-10-20, 15:03:33
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:05:37
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:05:43
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:43
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:43
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch03.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:43
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch04.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:44
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch05.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:44
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch06.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:44
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch07.txt, UserID: 1, CreatedOn: 2021-10-20, 15:05:44
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:21:32
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:21:42
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:21:42
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:30:00
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch03.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch04.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch05.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch06.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch07.txt, UserID: 1, CreatedOn: 2021-10-20, 15:30:06
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:34:12
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:34:19
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:34:19
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:44:06
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:44:12
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:44:12
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 15:44:12
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:44:33
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:44:37
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:44:37
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 15:44:37
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:45:20
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:45:20
TypeID: 10, Message: Error reading a file withing the directory, UserID: 1, CreatedOn: 2021-10-20, 15:45:20
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:45:55
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:45:55
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 15:48:09
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 15:48:14
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:14
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:20
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch03.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:20
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch04.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:20
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch05.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:20
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch06.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:20
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch07.txt, UserID: 1, CreatedOn: 2021-10-20, 15:48:20
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 20:04:56
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 20:05:23
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 20:05:23
TypeID: 2, Message: Successful connection established., UserID: 1, CreatedOn: 2021-10-20, 20:12:20
TypeID: 7, Message: Reading directory for files., UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch01.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch02.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch03.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch04.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch05.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch06.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
TypeID: 9, Message: Reading file: C:\Users\jon.wilson\source\repos\QuizApp\Destination\ch07.txt, UserID: 1, CreatedOn: 2021-10-20, 20:12:48
